slug,album
tablet-galaxy-tab-s9-fe,"Bazar · Tablet Samsung Galaxy Tab S9 FE"
placa-video-gtx-1080ti,"Bazar · Placa de Vídeo EVGA GeForce GTX 1080"
bicicleta-masculina,"Bazar · Bicicleta Masculina FKS SPEC MTB aro"
bicicleta-feminina-fks,"Bazar · Bicicleta Feminina FKS SPEC MTB aro 29"
placa-mae-x370-taichi,"Bazar · Placa-Mãe ASRock X370 Taichi AM4"
fonte-corsair-rm850i,"Bazar · Fonte Corsair RM850i 850W 80 Plus"
gabinete-haf-xb,"Bazar · Gabinete Cooler Master HAF XB EVO"
memoria-corsair-ddr4-16gb,"Bazar · Memória Corsair Vengeance LPX 16GB"
rack-quadrinhos,"Bazar · Rack aparador de madeira maciça"
lego-game-boy,"Bazar · LEGO Game Boy 72046 lacrado"
ryzen-7-1800x,"Bazar · Processador AMD Ryzen 7 1800X AM4"
armario-turquesa,"Bazar · Armário baixo azul turquesa com porta"
ssd-xpg-512gb,"Bazar · SSD XPG SX8100 512GB M.2 NVMe de 3500"
mouse-logitech-g903,"Bazar · Mouse Gamer Logitech G903 LIGHTSPEED"
watercooler-masterliquid-240,"Bazar · Water Cooler Cooler Master"
hd-seagate-3tb,"Bazar · HD Seagate Desktop 3TB SATA 3.5"
teclado-logitech-gpro,"Bazar · Teclado Mecânico Gamer Logitech G PRO"
poltrona-pallet,"Bazar · Poltrona de pallet com rodízios"
fans-corsair-sp140,"Bazar · Kit Corsair SP140 RGB PRO com 2"
controle-xbox-series,"Bazar · Controle Xbox Series X|S sem fio"
hd-wd-purple-2tb,"Bazar · HD WD Purple 2TB SATA 3.5 para CFTV"
airtags,"Bazar · Apple AirTag 2ª geração"
cadeiras-pingo,"Bazar · Cadeira Pingo com assento gota e pés"
abafador-howard-leight-kit,"Bazar · Abafador Eletrônico Howard Leight"
suporte-crianca,"Bazar · Cadeirinha de bicicleta para criança"
roteador-tplink,"Bazar · Roteador TP-Link N750 Dual Band"
abafador-howard-leight,"Bazar · Abafador Eletrônico Howard Leight + estojo"
capacete-rockrider,"Bazar · Capacete Rockrider Decathlon tamanho"
caneca-stanley,"Bazar · Caneca Térmica Stanley Beer Stein"
controle-xbox-360,"Bazar · Controle Xbox 360 sem fio preto"
ssd-corsair-240gb,"Bazar · SSD Corsair Force LE 240GB SATA 3"
bolsa-trader-joes,"Bazar · Bolsa Trader Joe's de lona importada"
teclado-hp-slim,"Bazar · Teclado HP slim USB empresarial"
kit-limpeza,"Bazar · Kit de limpeza e manutenção"
oculos-protetor-3m,"Bazar · Óculos de proteção + protetor"
suporte-tablet,"Bazar · Suporte de Mesa ECOODA para Tablet"
mouse-logitech-pebble,"Bazar · Mouse Logitech Pebble 2 M350s sem fio"
gancho-bike-decathlon,"Bazar · Gancho Decathlon de parede e teto"
mouse-c3tech,"Bazar · Mouse sem fio C3 Tech M-W20BK"
cheirinhos-little-trees,"Bazar · Cheirinho Little Trees pack com 3"
notebook-dell,"Bazar · Notebook Dell Inspiron 14 5402 i7"
xbox-series-s,"Bazar · Xbox Series S 512GB com 1 controle"
hd-externo-seagate-2tb,"Bazar · HD Externo Seagate Portable 2TB USB"
fone-jbl,"Bazar · Fone de Ouvido JBL Bluetooth Over-Ear"
teclado-logitech-k400,"Bazar · Teclado Logitech K400 Plus sem fio"
hd-toshiba-1tb,"Bazar · HD Toshiba 1TB 2.5 para notebook"
