id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,quantity_to_sell_on_facebook
"notebook-dell","Notebook Dell Inspiron i7 — 16GB RAM, SSD 512GB","Notebook Dell Inspiron com processador Intel Core i7, 16GB de memória RAM e SSD de 512GB. Placa de vídeo NVIDIA dedicada. Tela sem bordas, acabamento em alumínio. Funcionando perfeitamente, sem travamentos. Ideal para trabalho, estudo e edição leve. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","2999.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-notebook-dell","https://vieiradiego.github.io/bazar-do-diego/fotos/notebook-dell-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/notebook-dell-02.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/notebook-dell-03.jpg","Bazar do Diego","1"
"tablet-galaxy-tab-s9-fe","Tablet Samsung Galaxy Tab S9 FE+ Wi-Fi 128GB","Galaxy Tab S9 FE Plus com 128GB de armazenamento, Wi-Fi. Acompanha a S Pen original e capa com suporte. Tela grande, ótima para leitura, estudo e streaming. Bateria em bom estado, sem marcas de uso na tela. Novo custa cerca de R$ 3.385 (Amazon) — aqui sai por R$ 2.790, 18% abaixo. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","2790.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-tablet-galaxy-tab-s9-fe","https://vieiradiego.github.io/bazar-do-diego/fotos/tablet-galaxy-tab-s9-fe-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/tablet-galaxy-tab-s9-fe-02.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/tablet-galaxy-tab-s9-fe-03.jpg","Bazar do Diego","1"
"bicicleta-feminina-fks","Bicicleta Feminina FKS SPEC — MTB aro 29","Mountain bike aro 29 quadro em alumínio 6061, 21 marchas, freio a disco nas duas rodas e suspensão dianteira com trava. Selim Yamada, pedais com refletivo e descanso lateral. Cor rosa/preto. Pronta para pedalar. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","1199.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-bicicleta-feminina-fks","https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-02.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-03.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-04.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-05.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-06.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-07.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-08.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/bicicleta-feminina-fks-09.jpg","Bazar do Diego","1"
"lego-game-boy","LEGO Game Boy 72046 — lacrado","Set LEGO Game Boy (72046) com 421 peças, indicado para 18+. Caixa LACRADA, nunca aberta. Réplica do Game Boy clássico com cartuchos montáveis. Item de colecionador. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","479.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-lego-game-boy","https://vieiradiego.github.io/bazar-do-diego/fotos/lego-game-boy-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/lego-game-boy-02.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/lego-game-boy-03.jpg","Bazar do Diego","1"
"teclado-logitech-gpro","Teclado Mecânico Gamer Logitech G PRO TKL","Teclado mecânico Logitech G PRO no formato TKL (sem teclado numérico), layout US. Switches GX Blue Clicky, iluminação RGB LIGHTSYNC e cabo destacável. Todas as teclas funcionando, sem falhas. Novo custa cerca de R$ 639,99 (KaBuM) — aqui sai por R$ 379, 41% abaixo. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","379.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-teclado-logitech-gpro","https://vieiradiego.github.io/bazar-do-diego/fotos/teclado-logitech-gpro-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/teclado-logitech-gpro-02.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/teclado-logitech-gpro-03.jpg","Bazar do Diego","1"
"airtags","Apple AirTag 2ª geração","AirTag da Apple para rastrear chaves, mochila, mala ou carro pelo app Buscar. Unidades avulsas, em ótimo estado. Bateria substituível (CR2032). Preço por unidade. Novo custa cerca de R$ 369 (Apple Brasil) — aqui sai por R$ 259, 30% abaixo. Disponíveis: 3 unidades (preço por unidade). Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","259.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-airtags","https://vieiradiego.github.io/bazar-do-diego/fotos/airtags-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/airtags-02.jpg","Bazar do Diego","3"
"cadeiras-pingo","Cadeira Pingo — assento gota com pés de madeira","Cadeira design Pingo com assento em polipropileno no formato gota e pés de madeira maciça com estrutura metálica cruzada. Suporta até 120kg. Disponíveis 2 turquesa e 2 vermelhas. Sem rachaduras ou manchas. Preço por unidade. Novo custa cerca de R$ 295,65 (Móveis do Limar) — aqui sai por R$ 249, 16% abaixo. Disponíveis: 4 unidades (preço por unidade). Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","249.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-cadeiras-pingo","https://vieiradiego.github.io/bazar-do-diego/fotos/cadeiras-pingo-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/cadeiras-pingo-02.jpg","Bazar do Diego","4"
"abafador-howard-leight-kit","Abafador Eletrônico Howard Leight + óculos + estojo","Protetor auricular eletrônico Howard Leight Impact Sport (Honeywell) — amplifica sons ambientes e corta o ruído de impacto. Acompanha óculos de proteção lente amarela e estojo rígido. Funcionando, pilhas testadas. Novo custa cerca de R$ 649 (Bazar Militar) — aqui sai por R$ 249, 62% abaixo. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","249.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-abafador-howard-leight-kit","https://vieiradiego.github.io/bazar-do-diego/fotos/abafador-howard-leight-kit-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/abafador-howard-leight-kit-02.jpg","Bazar do Diego","1"
"roteador-tplink","Roteador TP-Link N750 Dual Band Gigabit (TL-WDR4300)","Roteador TP-Link N750 dual band (2.4GHz + 5GHz), portas gigabit e 3 antenas destacáveis. Modelo TL-WDR4300. Funcionando perfeitamente, resetado de fábrica antes da entrega. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","230.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-roteador-tplink","https://vieiradiego.github.io/bazar-do-diego/fotos/roteador-tplink-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/roteador-tplink-02.jpg","Bazar do Diego","1"
"abafador-howard-leight","Abafador Eletrônico Howard Leight + estojo","Protetor auricular eletrônico Howard Leight Impact Sport (Honeywell), dobrável, com estojo rígido. Amplificação de som ambiente e corte automático de ruído. Funcionando, pilhas testadas. Novo custa cerca de R$ 649 (Bazar Militar) — aqui sai por R$ 190, 71% abaixo. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","190.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-abafador-howard-leight","https://vieiradiego.github.io/bazar-do-diego/fotos/abafador-howard-leight-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/abafador-howard-leight-02.jpg","Bazar do Diego","1"
