saida,arquivo_original,modo,rotacao,folga
bolsa-trader-joes-01,01_principal.jpg,cutout,0,
bolsa-trader-joes-02,IMG_5599.jpeg,cutout,270,
notebook-dell-01,IMG_5600.jpeg,cutout,0,
notebook-dell-02,IMG_5601.jpeg,cutout,0,
notebook-dell-03,IMG_5602.jpeg,cutout,0,
capacete-rockrider-01,IMG_5603.jpeg,cutout,0,
capacete-rockrider-02,IMG_5604.jpeg,cutout,0,
capacete-rockrider-03,IMG_5605.jpeg,cutout,0,
capacete-rockrider-04,IMG_5606.jpeg,cutout,0,
teclado-logitech-k400-01,IMG_5607.jpeg,cutout,0,
teclado-logitech-k400-02,IMG_5607.jpeg,detalhe,0,0.7
teclado-hp-slim-01,IMG_5608.jpeg,cutout,0,
teclado-hp-slim-02,IMG_5608.jpeg,detalhe,0,0.7
teclado-logitech-gpro-01,IMG_5609.jpeg,cutout,0,
teclado-logitech-gpro-02,IMG_5610.jpeg,cutout,0,
teclado-logitech-gpro-03,IMG_5609.jpeg,detalhe,0,0.7
mouse-c3tech-01,IMG_5611.jpeg,cutout,180,
mouse-c3tech-02,IMG_5611.jpeg,detalhe,180,0.7
roteador-tplink-01,IMG_5613.jpeg,cutout,0,
roteador-tplink-02,IMG_5612.jpeg,cutout,180,
mouse-logitech-pebble-01,IMG_5615.jpeg,cutout,0,
mouse-logitech-pebble-02,IMG_5616.jpeg,cutout,270,
cheirinhos-little-trees-01,IMG_5617.jpeg,cutout,0,
cheirinhos-little-trees-02,IMG_5618.jpeg,cutout,0,
cheirinhos-little-trees-03,IMG_5619.jpeg,cutout,0,
cheirinhos-little-trees-04,IMG_5620.jpeg,cutout,0,
tablet-galaxy-tab-s9-fe-01,IMG_5621.jpeg,cutout,0,
tablet-galaxy-tab-s9-fe-02,IMG_5622.jpeg,cutout,0,
tablet-galaxy-tab-s9-fe-03,IMG_5623.jpeg,cutout,0,
kit-limpeza-01,IMG_5631.jpeg,cutout,0,
kit-limpeza-02,IMG_5631.jpeg,detalhe,0,0.7
abafador-howard-leight-kit-01,IMG_5635.jpeg,cutout,0,
abafador-howard-leight-kit-02,IMG_5635.jpeg,detalhe,0,0.7
abafador-howard-leight-01,IMG_5638.jpeg,cutout,0,
abafador-howard-leight-02,IMG_5639.jpeg,cutout,270,
oculos-protetor-3m-01,IMG_5640.jpeg,cutout,0,
oculos-protetor-3m-02,IMG_5641.jpeg,cutout,0,
lego-game-boy-01,IMG_5642.jpeg,cutout,0,
lego-game-boy-02,IMG_5643.jpeg,cutout,0,
lego-game-boy-03,IMG_5642.jpeg,detalhe,0,0.7
airtags-01,IMG_5645.heic,cutout,0,
airtags-02,IMG_5645.heic,detalhe,0,0.7
gancho-bike-decathlon-01,IMG_5655.heic,cutout,0,
gancho-bike-decathlon-02,IMG_5656.heic,cutout,0,
cadeiras-pingo-01,PHOTO-2026-08-25-20-21-17.jpg,cutout,0,
cadeiras-pingo-02,PHOTO-2026-08-25-20-21-17 2.jpg,cutout,0,
memoria-corsair-ddr4-16gb-01,IMG_5658.heic,cutout,0,
memoria-corsair-ddr4-16gb-02,IMG_5659.heic,cutout,0,
memoria-corsair-ddr4-16gb-03,IMG_5660.heic,cutout,0,
hd-wd-purple-2tb-01,IMG_5661.heic,cutout,0,
hd-wd-purple-2tb-02,IMG_5662.heic,cutout,270,
hd-seagate-3tb-01,IMG_5664.heic,cutout,270,
hd-seagate-3tb-02,IMG_5663.heic,cutout,0,
ssd-corsair-240gb-01,IMG_5666.heic,cutout,0,
ssd-corsair-240gb-02,IMG_5665.heic,cutout,0,
ssd-corsair-240gb-03,IMG_5667.heic,cutout,270,
hd-toshiba-1tb-01,IMG_5668.heic,cutout,0,
watercooler-masterliquid-240-01,IMG_5670.heic,cutout,270,
watercooler-masterliquid-240-02,IMG_5669.heic,cutout,180,
watercooler-masterliquid-240-03,IMG_5680.heic,cutout,0,
fonte-corsair-rm850i-01,IMG_5673.heic,cutout,0,
fonte-corsair-rm850i-02,IMG_5671.heic,cutout,0,
fonte-corsair-rm850i-03,IMG_5672.heic,cutout,270,
fonte-corsair-rm850i-04,IMG_5674.heic,cutout,0,
fans-corsair-sp140-01,IMG_5678.heic,cutout,0,
fans-corsair-sp140-02,IMG_5679.heic,cutout,0,
fans-corsair-sp140-03,IMG_5677.heic,cutout,0,
fans-corsair-sp140-04,IMG_5676.heic,cutout,0,
caneca-stanley-01,IMG_5697.jpeg,cutout,0,
caneca-stanley-02,IMG_5697.jpeg,detalhe,0,0.62
bicicleta-feminina-fks-01,PHOTO-2026-08-25-20-18-21 2.jpg,enquadrar,0,0.05
bicicleta-feminina-fks-02,PHOTO-2026-08-25-20-18-22 2.jpg,enquadrar,0,0.05
bicicleta-feminina-fks-03,PHOTO-2026-08-25-20-18-23 2.jpg,enquadrar,0,0.05
bicicleta-feminina-fks-04,PHOTO-2026-08-25-20-18-21 4.jpg,enquadrar,0,0.05
bicicleta-feminina-fks-05,PHOTO-2026-08-25-20-18-21 3.jpg,enquadrar,0,0.05
bicicleta-feminina-fks-06,PHOTO-2026-08-25-20-18-21.jpg,enquadrar,0,0.05
bicicleta-feminina-fks-07,PHOTO-2026-08-25-20-18-22.jpg,enquadrar,0,0.05
bicicleta-feminina-fks-08,PHOTO-2026-08-25-20-18-22 3.jpg,enquadrar,0,0.05
bicicleta-feminina-fks-09,PHOTO-2026-08-25-20-18-23.jpg,enquadrar,0,0.05
bicicleta-masculina-01,IMG_5699.jpeg,enquadrar,0,0.05
bicicleta-masculina-02,IMG_5700.jpeg,enquadrar,0,0.05
